id,ingredient_id,category_id,user_id,source_id
1,1,402,,
2,2,501,,
3,3,401,,
4,4,401,,
5,5,101,,
6,6,705,,
7,7,102,,
8,8,102,,
9,9,101,,
10,10,404,,
11,11,707,,
12,12,705,,
13,13,104,,
14,14,104,,
15,15,701,,
16,16,707,,
17,17,707,,
18,18,401,,
19,19,401,,
20,20,704,,
21,21,711,,
22,22,707,,
23,23,707,,
24,24,707,,
25,25,710,,
26,26,702,,
27,27,701,,
28,28,101,,
29,29,906,,
30,30,201,,
31,31,706,,
32,32,102,,
33,33,702,,
34,34,701,,
35,35,710,,
36,36,304,,
37,37,712,,
38,38,707,,
39,39,703,,
40,40,702,,
41,41,707,,
42,42,102,,
43,43,709,,
44,44,709,,
45,45,710,,
46,46,707,,
47,47,106,,
48,48,102,,
49,49,707,,
50,50,102,,
51,51,106,,
52,52,303,,
53,53,303,,
54,54,303,,
55,55,101,,
56,56,709,,
57,57,402,,
58,58,402,,
59,59,402,,
60,60,711,,
61,61,402,,
62,62,702,,
63,63,707,,
64,64,304,,
65,65,102,,
66,66,707,,
67,67,102,,
68,68,712,,
69,69,102,,
70,70,104,,
71,71,703,,
72,72,403,,
73,73,203,,
74,74,104,,
75,75,707,,
76,76,707,,
77,77,707,,
78,78,710,,
79,79,712,,
80,80,305,,
81,81,301,,
82,82,303,,
83,83,901,,
84,84,301,,
85,85,104,,
86,86,104,,
87,87,707,,
88,88,204,,
89,89,706,,
90,90,305,,
91,91,305,,
92,92,303,,
93,93,102,,
94,94,707,,
95,95,707,,
96,96,707,,
97,97,710,,
98,98,710,,
99,99,704,,
100,100,710,,
101,101,703,,
102,102,803,,
103,103,104,,
104,104,404,,
105,105,305,,
106,106,707,,
107,107,905,,
108,108,306,,
109,109,204,,
110,110,306,,
111,111,306,,
112,112,306,,
113,113,704,,
114,114,704,,
115,115,705,,
116,116,707,,
117,117,701,,
118,118,102,,
119,119,707,,
120,120,707,,
121,121,303,,
122,122,704,,
123,123,709,,
124,124,307,,
125,125,706,,
126,126,706,,
127,127,106,,
128,128,306,,
129,129,306,,
130,130,702,,
131,131,104,,
132,132,104,,
133,133,104,,
134,134,601,,
135,135,302,,
136,136,707,,
137,137,102,,
138,138,707,,
139,139,707,,
140,140,704,,
141,141,705,,
142,142,102,,
143,143,902,,
144,144,704,,
145,145,704,,
146,146,710,,
147,147,303,,
148,148,710,,
149,149,101,,
150,150,302,,
151,151,702,,
152,152,102,,
153,153,703,,
154,154,702,,
155,155,704,,
156,156,709,,
157,157,707,,
158,158,707,,
159,159,303,,
160,160,204,,
161,161,704,,
162,162,305,,
163,163,710,,
164,164,102,,
165,165,711,,
166,166,704,,
167,167,603,,
168,168,403,,
169,169,707,,
170,170,102,,
171,171,701,,
172,172,106,,
173,173,103,,
174,174,707,,
175,175,502,,
176,176,707,,
177,177,401,,
178,178,401,,
179,179,401,,
180,180,701,,
181,181,401,,
182,182,102,,
183,183,101,,
184,184,902,,
185,185,101,,
186,186,101,,
187,187,103,,
188,188,101,,
189,189,103,,
190,190,701,,
191,191,501,,
192,192,707,,
193,193,707,,
194,194,704,,
195,195,714,,
196,196,203,,
197,197,301,,
198,198,401,,
199,199,802,,
200,200,104,,
201,201,303,,
202,202,303,,
203,203,710,,
204,204,105,,
205,205,704,,
206,206,704,,
207,207,704,,
208,208,707,,
209,209,705,,
210,210,705,,
211,211,707,,
212,212,102,,
213,213,101,,
214,214,101,,
215,215,707,,
216,216,704,,
217,217,707,,
218,218,404,,
219,219,303,,
220,220,303,,
221,221,303,,
222,222,104,,
223,223,713,,
224,224,705,,
225,225,709,,
226,226,102,,
227,227,303,,
228,228,701,,
229,229,102,,
230,230,709,,
231,231,703,,
232,232,712,,
233,233,706,,
234,234,101,,
235,235,706,,
236,236,106,,
237,237,502,,
238,238,203,,
239,239,713,,
240,240,502,,
241,241,707,,
242,242,102,,
243,243,707,,
244,244,102,,
245,245,102,,
246,246,707,,
247,247,905,,
248,248,702,,
249,249,701,,
250,250,701,,
251,251,701,,
252,252,701,,
253,253,701,,
254,254,103,,
255,255,708,,
256,256,707,,
257,257,104,,
258,258,906,,
259,259,704,,
260,260,707,,
261,261,304,,
262,262,403,,
263,263,707,,
264,264,706,,
265,265,301,,
266,266,709,,
267,267,102,,
268,268,303,,
269,269,303,,
270,270,106,,
271,271,707,,
272,272,707,,
273,273,305,,
274,274,704,,
275,275,307,,
276,276,701,,
277,277,103,,
278,278,102,,
279,279,102,,
280,280,102,,
281,281,101,,
282,282,710,,
283,283,714,,
284,284,705,,
285,285,704,,
286,286,704,,
287,287,704,,
288,288,704,,
289,289,704,,
290,290,104,,
291,291,704,,
292,292,102,,
293,293,102,,
294,294,702,,
295,295,501,,
296,296,707,,
297,297,707,,
298,298,106,,
299,299,706,,
300,300,706,,
301,301,401,,
302,302,307,,
303,303,705,,
304,304,711,,
305,305,711,,
306,306,704,,
307,307,102,,
308,308,705,,
309,309,901,,
310,310,712,,
311,311,501,,
312,312,501,,
313,313,705,,
314,314,905,,
315,315,301,,
316,316,701,,
317,317,201,,
318,318,704,,
319,319,302,,
320,320,102,,
321,321,801,,
322,322,305,,
323,323,710,,
324,324,802,,
325,325,710,,
326,326,704,,
327,327,701,,
328,328,701,,
329,329,305,,
330,330,706,,
331,331,502,,
332,332,701,,
333,333,501,,
334,334,701,,
335,335,502,,
336,336,502,,
337,337,711,,
338,338,501,,
339,339,703,,
340,340,102,,
341,341,102,,
342,342,402,,
343,343,402,,
344,344,711,,
345,345,701,,
346,346,701,,
347,347,701,,
348,348,710,,
349,349,201,,
350,350,305,,
351,351,502,,
352,352,703,,
353,353,705,,
354,354,303,,
355,355,401,,
356,356,401,,
357,357,101,,
358,358,102,,
359,359,701,,
360,360,401,,
361,361,402,,
362,362,704,,
363,363,102,,
364,364,705,,
365,365,705,,
366,366,102,,
367,367,705,,
368,368,702,,
369,369,104,,
370,370,702,,
371,371,702,,
372,372,704,,
373,373,305,,
374,374,303,,
375,375,303,,
376,376,714,,
377,377,703,,
378,378,101,,
379,379,101,,
380,380,101,,
381,381,709,,
382,382,709,,
383,383,710,,
384,384,710,,
385,385,710,,
386,386,712,,
387,387,712,,
388,388,712,,
389,389,102,,
390,390,203,,
391,391,709,,
392,392,706,,
393,393,709,,
394,394,101,,
395,395,102,,
396,396,102,,
397,397,102,,
398,398,703,,
399,399,709,,
400,400,105,,
401,401,705,,
402,402,303,,
403,403,204,,
404,404,702,,
405,405,102,,
406,406,702,,
407,407,701,,
408,408,704,,
409,409,204,,
410,410,701,,
411,411,102,,
412,412,105,,
413,413,906,,
414,414,705,,
415,415,201,,
416,416,102,,
417,417,705,,
418,418,106,,
419,419,404,,
420,420,502,,
421,421,904,,
422,422,705,,
423,423,405,,
424,424,405,,
425,425,501,,
426,426,501,,
427,427,102,,
428,428,714,,
429,429,714,,
430,430,305,,
431,431,703,,
432,432,101,,
433,433,101,,
434,434,709,,
435,435,101,,
436,436,706,,
437,437,706,,
438,438,706,,
439,439,706,,
440,440,713,,
441,441,712,,
442,442,709,,
443,443,404,,
444,444,702,,
445,445,706,,
446,446,706,,
447,447,714,,
448,448,714,,
449,449,101,,
450,450,703,,
451,451,710,,
452,452,708,,
453,453,708,,
454,454,306,,
455,455,401,,
456,456,707,,
457,457,305,,
458,458,905,,
459,459,101,,
460,460,303,,
461,461,404,,
462,462,304,,
463,463,303,,
464,464,104,,
465,465,104,,
466,466,101,,
467,467,712,,
468,468,707,,
469,469,502,,
470,470,706,,
471,471,706,,
472,472,601,,
473,473,401,,
474,474,703,,
475,475,703,,
476,476,704,,
477,477,704,,
478,478,705,,
479,479,501,,
480,480,707,,
481,481,703,,
482,482,707,,
483,483,401,,
484,484,102,,
485,485,701,,
486,486,102,,
487,487,405,,
488,488,702,,
489,489,501,,
490,490,705,,
491,491,705,,
492,492,709,,
493,493,307,,
494,494,704,,
495,495,702,,
496,496,102,,
497,497,707,,
498,498,204,,
499,499,706,,
500,500,701,,
501,501,905,,
502,502,704,,
503,503,704,,
504,504,102,,
505,505,701,,
506,506,105,,
507,507,906,,
508,508,906,,
509,509,906,,
510,510,201,,
511,511,803,,
512,512,705,,
513,513,501,,
514,514,802,,
515,515,701,,
516,516,707,,
517,517,709,,
518,518,707,,
519,519,709,,
520,520,405,,
521,521,401,,
522,522,702,,
523,523,501,,
524,524,707,,
525,525,203,,
526,526,706,,
527,527,703,,
528,528,906,,
529,529,906,,
530,530,706,,
531,531,707,,
532,532,713,,
533,533,106,,
534,534,202,,
535,535,202,,
536,536,202,,
537,537,401,,
538,538,401,,
539,539,106,,
540,540,102,,
541,541,711,,
